"location","lon","lat"
"Brazil",-51.92528,-14.235004
"Bulgaria",25.48583,42.733883
"Cuba",-77.781167,21.521757
"Czech Republic",15.472962,49.817492
"Dominican Republic",-70.162651,18.735693
"Estonia",25.0136071,58.595272
"Europe",15.2551187,54.5259614
"Finland",25.7481511,61.92411
"France",2.213749,46.227638
"Germany",10.451526,51.165691
"Hungary",19.5033041,47.162494
"India",78.96288,20.593684
"Italy",12.56738,41.87194
"Nepal",84.124008,28.394857
"Poland",19.145136,51.919438
"Romania",24.96676,45.943161
"Sweden",18.643501,60.128161
"Switzerland",8.227512,46.818188
"Venezuela",-66.58973,6.42375
"Brunei",114.727669,4.535277
"Cambodia",104.990963,12.565679
"Cameroon",12.354722,7.369722
"China",104.195397,35.86166
"Congo",21.758664,-4.038333
"Ghana",-1.023194,7.946527
"Indonesia",113.921327,-0.789275
"Malawi",34.301525,-13.254308
"Malaysia",101.975766,4.210484
"Myanmar",95.955974,21.916221
"Papua New Guinea",143.95555,-6.314993
"Sri Lanka",80.771797,7.873054
"Tanzania",34.888822,-6.369028
"Thailand",100.992541,15.870032
"Uganda",32.290275,1.373333
"Viet Nam",108.277199,14.058324
"Afghanistan",67.709953,33.93911
"Africa",34.508523,-8.783195
"Alaska",-149.4936733,64.2008413
"Algeria",1.659626,28.033886
"Argentina",-63.616672,-38.416097
"Arizona",-111.0937311,34.0489281
"Armenia",45.038189,40.069099
"Australia",133.775136,-25.274398
"Austria",14.550072,47.516231
"Balearic islands",2.7356328,39.3587759
"Belarus",27.953389,53.709807
"Belgium",4.469936,50.503887
"California",-119.4179324,36.778261
"Canada",-106.346771,56.130366
"Canada British Colombia",-127.6476205,53.7266683
"Canada Northwest Territories",-124.8457334,64.8255441
"Canada Nova Scotia",-63.744311,44.6819866
"Canada Ontario",-85.323214,51.253775
"Canada Quebec",-73.5491361,52.9399159
"Canada Saskatchewan",-106.4508639,52.9399159
"Canada Yukon Territory",-135,64.2823274
"Canary islands",-16.6291304,28.2915637
"Central states",-94.1413864,36.2424693
"Chile",-71.542969,-35.675147
"Colombia",-74.297333,4.570868
"Colorado",-105.7820674,39.5500507
"Connecticut",-73.087749,41.6032207
"Cyprus",33.429859,35.126413
"Delaware",-75.5276699,38.9108325
"Denmark",9.501785,56.26392
"District of Columbia",-77.0368707,38.9071923
"Eastern states",-95.712891,37.09024
"Egypt",30.802498,26.820553
"Ethiopia",40.489673,9.145
"Faroe islands",-6.9118061,61.892635
"Florida",-81.5157535,27.6648274
"Georgia",-82.9000751,32.1656221
"Greece",21.824312,39.074208
"Greenland",-42.604303,71.706936
"Iceland",-19.020835,64.963051
"Idaho",-114.7420408,44.0682019
"Illinois",-89.3985283,40.6331249
"Indiana",-86.1349019,40.2671941
"Iowa",-93.097702,41.8780025
"Iran",53.688046,32.427908
"Iraq",43.679291,33.223191
"Israel",34.851612,31.046051
"Japan",138.252924,36.204824
"Jordan",36.238414,30.585164
"Kansas",-98.4842465,39.011902
"Kentucky",-84.2700179,37.8393332
"Kenya",37.906193,-0.023559
"Korea",127.9784585,37.6639976
"Lebanon",35.862285,33.854721
"Libya",17.228331,26.3351
"Lithuania",23.881275,55.169438
"Maine",-69.4454689,45.253783
"Malta",14.375416,35.937496
"Maryland",-76.6412712,39.0457549
"Mexico",-102.552784,23.634501
"Michigan",-85.6023643,44.3148443
"Minnesota",-94.6858998,46.729553
"Mississippi",-89.3985283,32.3546679
"Missouri",-91.8318334,37.9642529
"Mongolia",103.846656,46.862496
"Montana",-110.3625658,46.8796822
"Montenegro",19.37439,42.708678
"Morocco",-7.09262,31.791702
"Nebraska",-99.9018131,41.4925374
"Netherlands",5.291266,52.132633
"Nevada",-116.419389,38.8026097
"New Hampshire",-71.5723953,43.1938516
"New Jersey",-74.4056612,40.0583238
"New Mexico",-105.8700901,34.5199402
"New York",-74.0059728,40.7127753
"New Zealand",174.885971,-40.900557
"Nicaragua",-85.207229,12.865416
"North Carolina",-79.0192997,35.7595731
"North Dakota",-101.0020119,47.5514926
"Northern states",-95.071955,45.115652
"Norway",8.468946,60.472024
"Ohio",-82.907123,40.4172871
"Oklahoma",-97.092877,35.0077519
"Oregon",-120.5542012,43.8041334
"Pakistan",69.345116,30.375321
"Pennsylvania",-77.1945247,41.2033216
"Portugal",-8.224454,39.399872
"Puerto Rico",-66.590149,18.220833
"Range of host",-94.0137544,44.1868027
"Rhode Island",-71.4774291,41.5800945
"Russia",105.318756,61.52401
"Saudi Arabia",45.079162,23.885942
"Scotland",-4.2026458,56.4906712
"Sicily",14.0153557,37.5999938
"South Africa",22.937506,-30.559482
"South America",-55.491477,-8.783195
"South Carolina",-81.1637245,33.836081
"South North Dakota",-101.0020119,47.5514926
"Southern Africa",19.5687103,-24.3570767
"Spain",-3.74922,40.463667
"Sudan",30.217636,12.862807
"Svalbard",20.9751821,77.8749725
"Syria",38.996815,34.802075
"Taiwan",120.960515,23.69781
"Tennessee",-86.5804473,35.5174913
"Texas",-99.9018131,31.9685988
"Turkey",35.243322,38.963745
"Ukraine",31.1655799,48.379433
"United Kingdom",-3.435973,55.378051
"Uruguay",-55.765835,-32.522779
"Utah",-111.0937311,39.3209801
"Uzbekistan",64.585262,41.377491
"Vermont",-72.5778415,44.5588028
"Virgin islands",-64.896335,18.335765
"Virginia",-78.6568942,37.4315734
"Washington",-120.7401385,47.7510741
"West Virginia",-80.4549026,38.5976262
"Wisconsin",-88.7878678,43.7844397
"Wyoming",-107.2902839,43.0759678
"Yugoslavia",20.16711,44.988911
"Zimbabwe",29.154857,-19.015438
"Asia",100.6196553,34.047863
"Bermuda",-64.7505,32.3078
"Bolivia",-63.588653,-16.290154
"Caucasus",45,43.5851814
"Fiji",178.065032,-17.713371
"Hawaii",-155.5827818,19.8967662
"New Caledonia",165.618042,-20.904305
"North America",-105.2551187,54.5259614
"Alabama",-86.902298,32.3182314
"Angola",17.873887,-11.202692
"Azores",-25.6755944,37.7412488
"Central Asia",68.8319005,45.4506875
"England",-1.1743197,52.3555177
"Eritrea",39.782334,15.179384
"Haiti",-72.285215,18.971187
"Jamaica",-77.297508,18.109581
"Mauritius",57.552152,-20.348404
"Peru",-75.015152,-9.189967
"Republic of Georgia",43.356892,42.315407
"Serbia",21.005859,44.016521
"Trinidad and Tobago",-61.222503,10.691803
"United States",-95.712891,37.09024
"Zambia",27.849332,-13.133897
"Canada Manitoba",-98.8138762,53.7608608
"Guatemala",-90.230759,15.783471
"Ireland",-7.6920536,53.1423672
"Rwanda",29.873888,-1.940278
"Bhutan",90.433601,27.514162
"East Timor",125.727539,-8.874217
"Honduras",-86.241905,15.199999
"Singapore",103.819836,1.352083
"West Indies",-66.4108475,18.2345027
"Madeira islands",-16.9594723,32.7607074
"Philippines",121.774017,12.879721
"Costa Rica",-83.753428,9.748917
"Panama",-80.782127,8.537981
"Barbados",-59.543198,13.193887
"Massachusetts",-71.3824374,42.4072107
"Nigeria",8.675277,9.081999
"Hong Kong",114.109497,22.396428
"Manitoba",-98.8138762,53.7608608
"Somalia",46.199616,5.152149
"Albania",20.168331,41.153332
"Azerbaijan",47.576927,40.143105
"Canada New Brunswick",-66.4619164,46.5653163
"Canada Prince Edward Island",-63.4168136,46.510712
"Kazakhstan",66.923684,48.019573
"Kyrgyzstan",74.766098,41.20438
"Latvia",24.603189,56.879635
"Madagascar",46.869107,-18.766947
"Moldova",28.369885,47.411631
"Mozambique",35.529562,-18.665695
"Slovenia",14.995463,46.151241
"Tajikistan",71.276093,38.861034
"Tasmania",145.9706647,-41.4545196
"Turkmenistan",59.556278,38.969719
"Canada Alberta",-116.5765035,53.9332706
"Great Britain",-2.0727839,53.7190281
"Siberia",99.1966559,61.0137097
"Cote d'Ivoire",-5.54708,7.539989
"Sierra Leone",-11.779889,8.460555
"Arkansas",-91.8318334,35.20105
"El Salvador",-88.89653,13.794185
"Guinea",-9.696645,9.945587
"Guyana",-58.93018,4.860416
"Kiribati",-168.734039,-3.370417
"Louisiana",-91.9623327,30.9842977
"New Guinea",141.3470159,-5.0122202
"Samoa",-172.104629,-13.759029
"Solomon islands",160.156194,-9.64571
"Canada Newfoundland",-57.6604364,53.1355091
"Palestine",35.233154,31.952162
"Unknown",-79.6735841,41.6262707
"World Wide",-95.971072,36.153243
"Republic",-94.6202274,37.087343
"South Korea",127.766922,35.907757
"East Africa",37.2972044,1.957709
"Ecuador",-78.183406,-1.831239
"Slovakia",19.699024,48.669026
"Western states",-95.712891,37.09024
"Cape Verde",-23.0418,16.5388
"Central and western states",-149.0729714,62.4113634
"Himalayas",83.9310623,28.5983159
"Northeastern states",-74.2179326,43.2994285
"Oman",55.975413,21.4735329
"Botswana",24.684866,-22.328474
"Burundi",29.918886,-3.373056
"Cook islands",-159.777671,-21.236736
"Mali",-3.996166,17.570692
"Niue",-169.867233,-19.054445
"Reunion",55.536384,-21.115141
"Togo",0.824782,8.619543
"Tonga",-175.198242,-21.178986
"Bosnia and Herzegovina",17.679076,43.915886
"Croatia",15.2000001,45.1
"Macedonia",21.745275,41.608635
"Namibia",18.49041,-22.95764
"Nova Scotia",-63.744311,44.6819866
"Saskatchewan",-106.4508639,52.9399159
"Southern states",-95.712891,37.09024
"Tunisia",9.537499,33.886917
"Wales",-3.7837117,52.1306607
"Benin",2.315834,9.30769
"French Guiana",-53.125782,3.933889
"Saint Vincent",-61.187952,13.2507338
"Suriname",-56.027783,3.919305
"Kurile islands",150.9705378,47.1543981
"North central states",-95.712891,37.09024
"Sakhalin",142.9505689,50.6909848
"Indonesia Indonesia Java",110.7122465,-7.6145292
"Eastern and central states",-73.9114104,42.8063372
"South Asia",76.4563087,25.03764
"Dominica",-61.370976,15.414999
"Grenada",-61.679,12.1165
"Polynesia",-148.3716902,-16.8395019
"Lapland",26.5046438,67.9222304
"South Africa Northern Cape",21.8568586,-29.0466808
"Bangladesh",90.356331,23.684994
"Belize",-88.49765,17.189877
"Southwestern states",-95.3709879,29.5317796
"Saint Lucia",-60.978893,13.909444
"Northwestern states",-93.0977934,31.7487611
"Paraguay",-58.443832,-23.442503
"United States Gulf Coast",-95.2438794,29.656688
"Himalayass",83.9310623,28.5983159
"Tibet",88.7878678,30.1533605
"Central America",-85.6023643,12.7690126
"Falkland islands",-59.523613,-51.796253
"Tierra del Fuego",-68.3242061,-54.8053998
"Galapagos islands",-90.4233344,-0.383106
"South central states",-95.712891,37.09024
"Southeastern states",-75.4268251,40.0707887
"East Indies",115.66283,-2.2179704
"Luxembourg",6.129583,49.815273
"North Africa",25.66283,23.4162027
"South Africa Western Cape",21.8568586,-33.2277918
"West Africa",-2.4604145,13.531665
"Australasia",145.491477,-29.5328037
"Gabon",11.609444,-0.803689
"Vanuatu",166.959158,-15.376706
"Alberta",-116.5765035,53.9332706
"Quebec",-73.5491361,52.9399159
"Senegal",-14.452362,14.497401
"Yemen",48.516388,15.552727
"Ontario",-85.323214,51.253775
"Central Africa",19.5687103,2.3184621
"Carolina",-79.0192997,35.7595731
"Zambia   zim",25.8491833,-17.9263846
"America",-95.712891,37.09024
"Niger",8.081666,17.607789
"Widespread",-96.3922142,32.7861109
"Andorra",1.521801,42.506285
"Central African Republic",20.939444,6.611111
"French Polynesia",-149.406843,-17.679742
"Southeast Asia",115.66283,-2.2179704
"Swaziland",31.465866,-26.522503
"Scandinavia",12.3401709,62.2786475
"Saint Kitts and Nevis",-62.782998,17.357822
"Lesotho",28.233608,-29.609988
"Mauritania",-10.940835,21.00789
"Great Lake states",-82.4846115,45.0522366
"Guadeloupe",-61.551,16.265
"Martinique",-61.024174,14.641528
"Micronesia",150.550812,7.425554
"South Africa Cape Province",21.8568586,-33.2277918
"South Africa Eastern Cape",26.419389,-32.2968402
"South Africa Gauteng",28.1122679,-26.2707593
"South Africa KwaZuluNatal",30.8958242,-28.5305539
"South Africa Mpumalanga",30.5279096,-25.565336
"Jersey",-2.13125,49.214439
"South Africa Unknown",26.6679004,-29.5780491
"Laos",102.495496,19.85627
"British Colombia",-127.6476205,53.7266683
"Indonesia Java",110.7122465,-7.6145292
"Burkina Faso",-1.561593,12.238333
"Andaman islands",92.6586401,11.7400867
"East Asia",106.5348379,38.7945952
"West Germany",10.451526,51.165691
"Gambia",-15.310139,13.443182
"Tai",-95.712891,37.09024
"Dakota",-96.800668,32.7850593
"Nicobar islands",84.1352968,10.3871439
"Tristan da Cunha",-12.2776838,-37.1052489
"Comoro islands",44.2658053,-12.1725323
"East Germany",10.451526,51.165691
"South Africa Northern Province",29.4179324,-23.4012946
"Bahamas",-77.39628,25.03428
"Seychelles",55.491977,-4.679574
"Sao Tome and Principe",6.613081,0.18636
"Palau",134.58252,7.51498
"Canada Nunavut",-83.107577,70.2997711
"Guam",144.793731,13.444304
"Northern Mariana islands",145.6739,15.0979
"Zanzibar",39.3621196,-6.1357295
"Britain",-3.435973,55.378051
"Abkhazia",41.023407,43.0015544
"Kashmir",76.5761714,33.778175
"Rica",-84.9462118,33.7271115
"Northern Great Plains states",-110.6668777,47.8245678
"Bahrain",50.5577,26.0667
"Chad",18.732207,15.454166
"Christmas Island",105.690449,-10.447525
"Cayman islands",-81.2546,19.3133
"Antigua",-61.8175207,17.0746557
"Liberia",-9.429499,6.428055
"Northern Ireland",-6.4923145,54.7877149
"Montserrat",-62.187366,16.742498
"Norfolk Island",167.954712,-29.040835
"Monaco",7.4246158,43.7384176
"Liechtenstein",9.555373,47.166
"North Korea",127.510093,40.339852
"Kerguelen islands",69.5816287,-49.1602433
